gubun,gubun_1,gubun_2,question,answer
지도방법,과학적 지도방법,운동생리학,초과산소섭취량(EPOC)에 대해 설명하시오.,"운동이 끝난 후의 산소섭취량이, 안정 시 섭취량보다 더 높은 상태를 의미합니다."
지도방법,과학적 지도방법,운동생리학,젖산 역치에 대해 설명하세요.,"우리는 운동을 하게 되면 젖산이 쌓이게 됩니다. 우리의 몸은 이 젖산을 제거하는데, 우리 몸이 젖산을 제거하는 속도보다 젖산이 쌓이는 속도가 더 빨라지는 시점이 발생합니다. 이 시점에서 근육의 피로감과 고통이 발생합니다. 이를 젖산 역치라고 합니다"
지도방법,과학적 지도방법,운동생리학,테스토스테론에 대해 설명하세요.,"근성장 및 발달에 도움이 되는 호르몬으로, 남성의 고환과 여성의 난소, 부신에서 생성됩니다."
지도방법,과학적 지도방법,운동생리학,교감 신경과 부교감 신경에 대해 설명하세요.,"교감신경 - 활성화 시에 동공확장, 체온 상승, 호흡과 맥박이 상승 부교감 신경 - 활성화 시에 동공 축소, 호흡, 맥박, 체온은 안정 시 호흡, 맥박, 체온으로 되돌아옵니다. 운동 시에는 교감신경이 활성화 되고, 안정 시에는 부교감신경이 활성화됩니다."
지도방법,과학적 지도방법,운동생리학,호흡 근육에 대해 설명하세요.,"호기 근육: 외복사근 내복사근 복횡근 복직근 내늑간근 / 흡기 근육: 횡경막, 흉쇄유돌근, 사각근, 외늑간근"
지도방법,과학적 지도방법,운동생리학,근육의 종류에 대해 설명하시오.,"근육은 심장근, 내장근, 골격근으로 나뉩니다. 심장근은 불수의근이며, 가로무늬근입니다. 심장에서 볼 수 있습니다. 내장근은 불수의근이며, 민무늬근입니다. 우리 몸의 장기를 구성하고 있습니다. 골격근은 수의근이며, 가로무늬근입니다. 우리 마음대로 수축과 이완이 가능하고, 탄력이 뛰어납니다."
지도방법,과학적 지도방법,운동생리학,지근과 속근에 대해 설명하세요.,"지근은 적근, 속근은 백근이라고도 부릅니다. 지근의 경우에는 수축 속도가 느리고 피로에 저항이 높아 주로 유산소운동시에 많이 사용됩니다. 속근의 경우에는 수축 속도가 빠르고, 피로에 저항이 낮습니다. 주로 무산소운동시에 사용됩니다."
지도방법,과학적 지도방법,운동생리학,위성 세포에 대해 설명하세요.,"평소에는 활성화되어 있지 않지만, 운동이나 근섬유의 손상이 일어나면 활성화되게 됩니다. 활성화되면 근성장, 근회복에 도움을 줍니다."
지도방법,과학적 지도방법,운동생리학,근육 펌핑에 대해 설명하세요.,근육의 자극과 활동으로 인해 혈액이 몰려 일시적으로 부풀어오르는 현상을 말합니다.
지도방법,과학적 지도방법,운동생리학,지연성 근육통(DOMS)에 대해 설명하세요,"다음날 바로 발생하는 일반적인 근육통이 아니라, 운동 후 2, 3일 후부터 발생하는 근육통 근섬유의 미세한 파열이 원인이며, 회복은 5, 7일 소요됩니다."
지도방법,과학적 지도방법,운동생리학,스포츠 심장에 대해 설명하세요.,"운동으로 단련된 스포츠인의 심장을 이야기합니다. 1회 수축으로 인한 심박출량이 높고, 안정 시 심박수가 낮은 것이 특징입니다."
지도방법,과학적 지도방법,운동생리학,뼈의 역할에 대해 설명하세요.,"내장을 보호하고, 근육의 지렛대 역할을 하며, 몸의 구조를 지지합니다. 또, 골수가 있어 조혈작용을 담당하고, 무기질의 저장과 공급의 역할을 맡고 있습니다."
지도방법,과학적 지도방법,운동생리학,에너지 생산의 필수요소를 설명하시오,탄수화물 단백질 지방 산소 
지도방법,과학적 지도방법,운동생리학,심박출량과 박출량을 구하는 공식을 설명하시오.,심박출량이란 심장 수축으로 뿜어내는 혈액량을 의미합니다. / 공식 > 분당 박동수 x 1회 박출량  / 1회 박출량 > 이완기말용적 - 수축기말용적
지도방법,과학적 지도방법,운동생리학,에너지 소비가 어떤 순서로 이루어지는지 설명하시오.,탄수화물 지방 단백질 순서로 소비됩니다
지도방법,과학적 지도방법,운동생리학,체질량지수 이름과 구하는 방법을 설명하시오.,BMI. 몸무게를 키의 제곱으로 나눈 것이다. 예시 - 60÷(1.6x1.6)
지도방법,과학적 지도방법,운동생리학,체지방과 제지방을 설명하시오.,체지방은 우리 몸속의 지방이고 제지방은 우리 몸 속에 체지방을 제외한 나머지 구성 요소를 의미합니다.(체중 - 체지방)
지도방법,과학적 지도방법,운동생리학,지질대사란 무엇인지 설명하시오.,"지방이 소화되는 과정으로, 중성지방 콜레스테롤 인지질 등 에너지로 합성 분해되는 과정을 말합니다"
지도방법,과학적 지도방법,운동생리학,근육의 구조에 대해 설명하시오.,근원섬유 근섬유 근섬유다발 골격근
지도방법,과학적 지도방법,운동생리학,저체온증에 대해 설명하시오.,방어체력의 약화로 체온이 35도 이하로 떨어지는 것
지도방법,과학적 지도방법,운동생리학,아세틸콜린에 대해 설명하시오.,신경세포 사이에서 신호를 전달하고 조절하는 화학물질
지도방법,과학적 지도방법,운동생리학,맥박촉진법에 대해 설명하시오.,말초동맥을 촉진해 심장박동수를 측정하는 것
지도방법,과학적 지도방법,운동생리학,근방추의 위치를 설명하시오.,가로무늬근 안에 존재
지도방법,과학적 지도방법,운동생리학,골지건기관의 위치를 설명하시오.,근육 끝에 있는 건 속의 수용기관
지도방법,과학적 지도방법,운동생리학,심전도 자극 순서를 설명하시오.,굴심방결절 방실결절 방실다발 푸르기네섬유
지도방법,과학적 지도방법,운동생리학,쇼크 종류에 대해 설명하시오.,저혈량성 쇼크 심인성 쇼크 아나필릭틱 신경성 쇼크 패혈성 쇼크 과출혈성 쇼크
지도방법,과학적 지도방법,운동생리학,골지건기관과 근방추에 대해 설명하시오.,골지건기관은 근육 수축을 감지해 지나친 수축에 브레이크를 거는 역할 근방추는 근육의 신장을 감지해 과도하게 신장하는 경우 근육이 손상되지 않게끔 역할을 수행
지도방법,과학적 지도방법,운동생리학,심장자극전도계에 대해 설명하시오.,심장에 있는 특수 심장 근육으로 이루어진 전도 계통 굴심방결절 방실결절 방실속전도섬유로 이루어져있다
지도방법,과학적 지도방법,운동생리학,생체전기저항 분석법에 대해 설명하시오.,"실내온도 20-22도 유지 / 측정 30분전 소변 / 측정 4시간 전 식사,수분섭취 금지 / 측정 48시간 전 음주금지 / 여성일 경우 생리할 때는 검사자제"
지도방법,과학적 지도방법,운동생리학,MET에 대해 설명하시오.,대사당량이라고 부릅니다. 신체가 해당 활동상태를 유지하는 데 필요한 산소량을 의미하며 ACSM가이드라인에 따르면 건강한 성인 기준 1이 안정 1~2.9 저강도 3.0~5.9 중강도 6이상 고강도입니더
지도방법,과학적 지도방법,운동생리학,신체구건 분석할 때 전자생체공학을 이용한 것은 무엇인가?,전자극체성분석
지도방법,과학적 지도방법,운동생리학,최대산소섭취량을 설명하시오.,최대 운동강도에 도달했을 때 산소 섭취 능력을 파악하기 위한 것입니다. 1분당 1kg당 산소 몇ml를 섭취했는지 나타냅니다 
지도방법,과학적 지도방법,운동생리학,에너지 소비형태 5가지를 설명하시오.,기초대사량 안정시대사량 활동대사량 적응성대사량 식이대사 총에너지소비량
지도방법,과학적 지도방법,운동영양학,필수 영양소에 대해 설명하세요..,"우리가 살아가는 데에 반드시 필요하지만, 우리가 직접 생산해내지 못하거나 생산량이 모자란 영양소를 말합니다. 물, 무기질, 비타민, 탄수화물, 단백질, 지방"
지도방법,과학적 지도방법,운동영양학,지방에 대해 설명하세요.,1g당 9kcal 열량을 낸다. 세포막을 구성하고 있다 체온 유지와 내장 보호의 역할
지도방법,과학적 지도방법,운동영양학,내장 지방과 피하 지방에 대해 설명하세요.,내장지방은 내장을 둘러싼 지방 피하지방은 피부 바로 아래에 있는 지방
지도방법,과학적 지도방법,운동영양학,포화지방과 불포화지방에 대해 설명하세요.,"포화지방은 육류, 유제품에 많다. 오래 놔두면 굳는다. 과섭취시 심혈관계 질환 위험이 있다. 불포화지방은 견과류, 아보카도, 생선등이 있다. 오래 놔둬도 굳지 않는다. 심혈관계 질환의 위험을 감소시킨다."
지도방법,과학적 지도방법,운동영양학,HDL 콜레스테롤에 대해 설명하세요.,일명 좋은 콜레스테롤 혈액에 있는 콜레스테롤을 간으로 옮이는 역할 HDL콜레스테롤이 많으면 관상동맥질환의 발병률이 줄어듭니다.
지도방법,과학적 지도방법,운동영양학,LDL 콜레스테롤에 대해 설명하세요.,"저밀도 지질 단백질로 나쁜 콜레스트롤, 적색 육류에 많이 함유"
지도방법,과학적 지도방법,운동영양학,비타민의 종류에 대해 설명하세요.,"수용성 비타민과 지용성 비타민으로 나뉩니다. 수용성 비타민은 B,C가 있으며 지용성 비타민은 A,D,E,K가 있습니다. 수용성 비타민은 과다 섭취 시에는 필요량만 흡수하고 나머지는 소변으로 배출하지만 지용성 비타민은 과다 섭취 시에는 체내에 축적되어 부작용을 일으킬 수 있습니다."
지도방법,과학적 지도방법,운동영양학,"운동 전, 당을 섭취하는 이유에 대해 설명하세요.",글리코겐을 보충하기 위해서. 운동을 할 땐 글리코겐이 소모되고 고강도 운동을 진행하면 글리코겐은 빠른 속도로 고갈됩니다. 이에 대비하기 위해 운동 전에 미리 당을 섭취하는 것입니다.
지도방법,과학적 지도방법,운동영양학,필수 아미노산에 대해 설명하세요.,"일상생활을 영위하는 데에 반드시 필요하지만, 우리 몸에서 생성하지 못하거나 생성량이 모자란 아미노산을 이야기합니다. 발린, 이소류신, 류신, 리신, 트립토판, 페닐알라닌, 히스티딘, 메티오닌, 트레오닌 이 있습니다."
지도방법,과학적 지도방법,운동영양학,BCAA에 대해 설명하세요.,"분지사슬 아미노산의 약자로, 발린, 이소류신, 류신 3가지를 뜻합니다. 운동 전 BCAA의 섭취 시, 근성장과 근회복에 도움이 됩니다."
지도방법,과학적 지도방법,운동영양학,아나볼릭과 카타볼릭을 설명하세요.,동화작용과 이화작용이라고도 부릅니다. 아나볼릭 - 근육 내에서 단백질을 합성해내는 과정 카타볼릭 - 근육이 분해되는 작용
지도방법,과학적 지도방법,운동영양학,유청단백질에 대해 설명하세요.,우유에서 유지방과 카제인을 제거한 고급 단백질
지도방법,과학적 지도방법,운동영양학,크레아틴에 대해 설명하세요.,"붉은색 고기나 생선에 아미노산으로 많이 함유되어 있음 / 근육에 95% 저장되어있음, 그 중 50%는 크레아틴 인산으로 포함되어있음 / 근육 성능 향상과 에너지 회복을 도와줌"
지도방법,과학적 지도방법,운동영양학,수분의 역할에 대해 설명하세요.,"체온 조절, 영양분 전달, 삼투압 조절"
지도방법,과학적 지도방법,운동영양학,운동 전 수분을 섭취하는 이유에 대해 설명하세요.,운동으로 인해 땀을 흘리거나 가파른 호흡으로 인한 수분 손실에 대비하여 미리 수분을 섭취하면 운동 수행에 도움이 됩니다.
지도방법,과학적 지도방법,운동영양학,글루카곤에 대해 설명하시오.,췌장 알파세포에서 분비되는 호르몬으로 혈당을 올려 줍니다
지도방법,과학적 지도방법,운동영양학,호르몬에 대해 설명하시오.,인슐린 에스트로겐 테스토스테론 갑상선호르몬 등
지도방법,과학적 지도방법,운동영양학,신경전달물질에 대해 설명하시오.,도파민 세로토닌 아세틸콜린 GABA 글루타메이트
지도방법,과학적 지도방법,운동영양학,탈수 증상 3개를 설명하시오.,"소변량 감소, 전해질 농도 불균형으로 인한 피로 및 신체약화"
지도방법,과학적 지도방법,운동영양학,카페인의 효과와 적정섭취량을 설명하시오.,카페인을 섭취하면 중추신경이 흥분되어 유산소 운동 시 지방을 최대로 활용할 수 있도록 해주며 근지구력을 높여 세트와 반복횟수를 높일 수 있어 근성장에 도움이 됩니다. 일반성인 권장량 400mg 임산부 300mg 유아청소년 kg당 2.5mg
지도방법,과학적 지도방법,운동영양학,운동 전 수분을 섭취하는 이유를 설명하시오.,운동으로 인해 땀을 흘리거나 가파른 호흡으로 인한 수분 손실에 대비하여 미리 수분을 섭취하면 운동 수행에 도움이 됩니다.
지도방법,과학적 지도방법,운동영양학,아드레날린이란 무엇인지 설명하시오.,"스트레스 상황에 부신수질에서 분비되어 심박수, 혈압, 심박 수축력을 증가시키는 호르몬. 대비반응을 강화하여 신체의 빠른 대처와 반응을 돕는다"
지도방법,과학적 지도방법,운동영양학,카보로딩을 설명하시오.,글리코겐 저장량을 늘리기 위해 글리코겐을 완전 고갈시킨 후 탄수화물을 다량 섭취하는 행위
지도방법,과학적 지도방법,운동영양학,운동 후 영양 섭취를 설명하시오.,1시간 이내에 단백질을 섭취하면 동화 작용으로 보다 효과적인 흡수를 할수 있습니다.
